Country,Year,Overall rank
Suriname,2016,40.0
Kuwait,2016,41.0
Bahrain,2016,42.0
Trinidad and Tobago,2016,43.0
Venezuela,2016,44.0
Slovakia,2016,45.0
El Salvador,2016,46.0
Malaysia,2016,47.0
Nicaragua,2016,48.0
Uzbekistan,2016,49.0
Italy,2016,50.0
Ecuador,2016,51.0
Belize,2016,52.0
Japan,2016,53.0
Kazakhstan,2016,54.0
Moldova,2016,55.0
Russia,2016,56.0
Poland,2016,57.0
South Korea,2016,57.0
Bolivia,2016,59.0
Lithuania,2016,60.0
Belarus,2016,61.0
North Cyprus,2016,62.0
Slovenia,2016,63.0
Peru,2016,64.0
Turkmenistan,2016,65.0
Mauritius,2016,66.0
Libya,2016,67.0
Latvia,2016,68.0
Cyprus,2016,69.0
Paraguay,2016,70.0
Romania,2016,71.0
Estonia,2016,72.0
Jamaica,2016,73.0
Croatia,2016,74.0
Hong Kong,2016,75.0
Somalia,2016,76.0
Kosovo,2016,77.0
Turkey,2016,78.0
Indonesia,2016,79.0
Jordan,2016,80.0
Azerbaijan,2016,81.0
Philippines,2016,82.0
China,2016,83.0
Bhutan,2016,84.0
Kyrgyzstan,2016,85.0
Serbia,2016,86.0
Bosnia and Herzegovina,2016,87.0
Montenegro,2016,88.0
Dominican Republic,2016,89.0
Morocco,2016,90.0
Hungary,2016,91.0
Pakistan,2016,92.0
Lebanon,2016,93.0
Portugal,2016,94.0
Macedonia,2016,95.0
Vietnam,2016,96.0
Somaliland Region,2016,97.0
Tunisia,2016,98.0
Greece,2016,99.0
Tajikistan,2016,100.0
Mongolia,2016,101.0
Laos,2016,102.0
Nigeria,2016,103.0
Honduras,2016,104.0
Iran,2016,105.0
Zambia,2016,106.0
Nepal,2016,107.0
Palestinian Territories,2016,108.0
Albania,2016,109.0
Bangladesh,2016,110.0
Sierra Leone,2016,111.0
Iraq,2016,112.0
Namibia,2016,113.0
Cameroon,2016,114.0
Ethiopia,2016,115.0
South Africa,2016,116.0
Sri Lanka,2016,117.0
India,2016,118.0
Myanmar,2016,119.0
Egypt,2016,120.0
Armenia,2016,121.0
Kenya,2016,122.0
Ukraine,2016,123.0
Ghana,2016,124.0
Congo (Kinshasa),2016,125.0
Georgia,2016,126.0
Congo (Brazzaville),2016,127.0
Senegal,2016,128.0
Bulgaria,2016,129.0
Mauritania,2016,130.0
Zimbabwe,2016,131.0
Malawi,2016,132.0
Sudan,2016,133.0
Gabon,2016,134.0
Mali,2016,135.0
Haiti,2016,136.0
Botswana,2016,137.0
Comoros,2016,138.0
Ivory Coast,2016,139.0
Cambodia,2016,140.0
Angola,2016,141.0
Niger,2016,142.0
South Sudan,2016,143.0
Chad,2016,144.0
Burkina Faso,2016,145.0
Uganda,2016,145.0
Yemen,2016,147.0
Madagascar,2016,148.0
Tanzania,2016,149.0
Liberia,2016,150.0
Guinea,2016,151.0
Rwanda,2016,152.0
Benin,2016,153.0
Afghanistan,2016,154.0
Togo,2016,155.0
Syria,2016,156.0
Burundi,2016,157.0
Norway,2017,1.0
Denmark,2017,2.0
Iceland,2017,3.0
Switzerland,2017,4.0
Finland,2017,5.0
Netherlands,2017,6.0
Canada,2017,7.0
New Zealand,2017,8.0
Sweden,2017,9.0
Australia,2017,10.0
Israel,2017,11.0
Costa Rica,2017,12.0
Austria,2017,13.0
United States,2017,14.0
Ireland,2017,15.0
Germany,2017,16.0
Belgium,2017,17.0
Luxembourg,2017,18.0
United Kingdom,2017,19.0
Chile,2017,20.0
United Arab Emirates,2017,21.0
Brazil,2017,22.0
Czech Republic,2017,23.0
Argentina,2017,24.0
Mexico,2017,25.0
Singapore,2017,26.0
Malta,2017,27.0
Uruguay,2017,28.0
Guatemala,2017,29.0
Panama,2017,30.0
France,2017,31.0
Thailand,2017,32.0
Taiwan,2017,33.0
Spain,2017,34.0
Qatar,2017,35.0
Colombia,2017,36.0
Saudi Arabia,2017,37.0
Trinidad and Tobago,2017,38.0
Kuwait,2017,39.0
Slovakia,2017,40.0
Bahrain,2017,41.0
Malaysia,2017,42.0
Nicaragua,2017,43.0
Ecuador,2017,44.0
El Salvador,2017,45.0
Poland,2017,46.0
Uzbekistan,2017,47.0
Italy,2017,48.0
Russia,2017,49.0
Belize,2017,50.0
Japan,2017,51.0
Lithuania,2017,52.0
Algeria,2017,53.0
Latvia,2017,54.0
South Korea,2017,55.0
Moldova,2017,56.0
Romania,2017,57.0
Bolivia,2017,58.0
Turkmenistan,2017,59.0
Kazakhstan,2017,60.0
North Cyprus,2017,61.0
Slovenia,2017,62.0
Peru,2017,63.0
Mauritius,2017,64.0
Cyprus,2017,65.0
Estonia,2017,66.0
Belarus,2017,67.0
Libya,2017,68.0
Turkey,2017,69.0
Paraguay,2017,70.0
Hong Kong,2017,71.0
Philippines,2017,72.0
Serbia,2017,73.0
Jordan,2017,74.0
Hungary,2017,75.0
Jamaica,2017,76.0
Croatia,2017,77.0
Kosovo,2017,78.0
China,2017,79.0
Pakistan,2017,80.0
Indonesia,2017,81.0
Venezuela,2017,82.0
Montenegro,2017,83.0
Morocco,2017,84.0
Azerbaijan,2017,85.0
Dominican Republic,2017,86.0
Greece,2017,87.0
Lebanon,2017,88.0
Portugal,2017,89.0
Bosnia and Herzegovina,2017,90.0
Honduras,2017,91.0
Macedonia,2017,92.0
Somalia,2017,93.0
Vietnam,2017,94.0
Nigeria,2017,95.0
Tajikistan,2017,96.0
Bhutan,2017,97.0
Kyrgyzstan,2017,98.0
Nepal,2017,99.0
Mongolia,2017,100.0
South Africa,2017,101.0
Tunisia,2017,102.0
Palestinian Territories,2017,103.0
Egypt,2017,104.0
Bulgaria,2017,105.0
Sierra Leone,2017,106.0
Cameroon,2017,107.0
Iran,2017,108.0
Albania,2017,109.0
Bangladesh,2017,110.0
Namibia,2017,111.0
Kenya,2017,112.0
Mozambique,2017,113.0
Myanmar,2017,114.0
Senegal,2017,115.0
Zambia,2017,116.0
Iraq,2017,117.0
Gabon,2017,118.0
Ethiopia,2017,119.0
Sri Lanka,2017,120.0
Armenia,2017,121.0
India,2017,122.0
Mauritania,2017,123.0
Congo (Brazzaville),2017,124.0
Georgia,2017,125.0
Congo (Kinshasa),2017,126.0
Mali,2017,127.0
Ivory Coast,2017,128.0
Cambodia,2017,129.0
Sudan,2017,130.0
Ghana,2017,131.0
Ukraine,2017,132.0
Uganda,2017,133.0
Burkina Faso,2017,134.0
Niger,2017,135.0
Malawi,2017,136.0
Chad,2017,137.0
Zimbabwe,2017,138.0
Lesotho,2017,139.0
Angola,2017,140.0
Afghanistan,2017,141.0
Botswana,2017,142.0
Benin,2017,143.0
Madagascar,2017,144.0
Haiti,2017,145.0
Yemen,2017,146.0
South Sudan,2017,147.0
Liberia,2017,148.0
Guinea,2017,149.0
Togo,2017,150.0
Rwanda,2017,151.0
Syria,2017,152.0
Tanzania,2017,153.0
Burundi,2017,154.0
Central African Republic,2017,155.0
Finland,2018,1.0
Norway,2018,2.0
Denmark,2018,3.0
Iceland,2018,4.0
Switzerland,2018,5.0
Netherlands,2018,6.0
Canada,2018,7.0
New Zealand,2018,8.0
Sweden,2018,9.0
Australia,2018,10.0
United Kingdom,2018,11.0
Austria,2018,12.0
Costa Rica,2018,13.0
Ireland,2018,14.0
Germany,2018,15.0
Belgium,2018,16.0
Luxembourg,2018,17.0
United States,2018,18.0
Israel,2018,19.0
United Arab Emirates,2018,20.0
Czech Republic,2018,21.0
Malta,2018,22.0
France,2018,23.0
Mexico,2018,24.0
Chile,2018,25.0
Taiwan,2018,26.0
Panama,2018,27.0
Brazil,2018,28.0
Argentina,2018,29.0
Guatemala,2018,30.0
Uruguay,2018,31.0
Qatar,2018,32.0
Saudi Arabia,2018,33.0
Singapore,2018,34.0
Malaysia,2018,35.0
Spain,2018,36.0
Colombia,2018,37.0
Trinidad & Tobago,2018,38.0
Slovakia,2018,39.0
El Salvador,2018,40.0
Nicaragua,2018,41.0
Poland,2018,42.0
Bahrain,2018,43.0
Uzbekistan,2018,44.0
Kuwait,2018,45.0
Thailand,2018,46.0
Italy,2018,47.0
Ecuador,2018,48.0
Belize,2018,49.0
Lithuania,2018,50.0
Slovenia,2018,51.0
Romania,2018,52.0
Latvia,2018,53.0
Japan,2018,54.0
Mauritius,2018,55.0
Jamaica,2018,56.0
South Korea,2018,57.0
Northern Cyprus,2018,58.0
Russia,2018,59.0
Kazakhstan,2018,60.0
Cyprus,2018,61.0
Bolivia,2018,62.0
Estonia,2018,63.0
Paraguay,2018,64.0
Peru,2018,65.0
Kosovo,2018,66.0
Moldova,2018,67.0
Turkmenistan,2018,68.0
Hungary,2018,69.0
Libya,2018,70.0
Philippines,2018,71.0
Honduras,2018,72.0
Belarus,2018,73.0
Turkey,2018,74.0
Pakistan,2018,75.0
Hong Kong,2018,76.0
Portugal,2018,77.0
Serbia,2018,78.0
Greece,2018,79.0
Lebanon,2018,80.0
Montenegro,2018,81.0
Croatia,2018,82.0
Dominican Republic,2018,83.0
Algeria,2018,84.0
Morocco,2018,85.0
China,2018,86.0
Azerbaijan,2018,87.0
Tajikistan,2018,88.0
Macedonia,2018,89.0
Jordan,2018,90.0
Nigeria,2018,91.0
Kyrgyzstan,2018,92.0
Bosnia and Herzegovina,2018,93.0
Mongolia,2018,94.0
Vietnam,2018,95.0
Indonesia,2018,96.0
Bhutan,2018,97.0
Somalia,2018,98.0
Cameroon,2018,99.0
Bulgaria,2018,100.0
Nepal,2018,101.0
Venezuela,2018,102.0
Gabon,2018,103.0
Palestinian Territories,2018,104.0
South Africa,2018,105.0
Iran,2018,106.0
Ivory Coast,2018,107.0
Ghana,2018,108.0
Senegal,2018,109.0
Laos,2018,110.0
Tunisia,2018,111.0
Albania,2018,112.0
Sierra Leone,2018,113.0
Congo (Brazzaville),2018,114.0
Bangladesh,2018,115.0
Sri Lanka,2018,116.0
Iraq,2018,117.0
Mali,2018,118.0
Namibia,2018,119.0
Cambodia,2018,120.0
Burkina Faso,2018,121.0
Egypt,2018,122.0
Mozambique,2018,123.0
Kenya,2018,124.0
Zambia,2018,125.0
Mauritania,2018,126.0
Ethiopia,2018,127.0
Georgia,2018,128.0
Armenia,2018,129.0
Myanmar,2018,130.0
Chad,2018,131.0
Congo (Kinshasa),2018,132.0
India,2018,133.0
Niger,2018,134.0
Uganda,2018,135.0
Benin,2018,136.0
Sudan,2018,137.0
Ukraine,2018,138.0
Togo,2018,139.0
Guinea,2018,140.0
Lesotho,2018,141.0
Angola,2018,142.0
Madagascar,2018,143.0
Zimbabwe,2018,144.0
Afghanistan,2018,145.0
Botswana,2018,146.0
Malawi,2018,147.0
Haiti,2018,148.0
Liberia,2018,149.0
Syria,2018,150.0
Rwanda,2018,151.0
Yemen,2018,152.0
Tanzania,2018,153.0
South Sudan,2018,154.0
Central African Republic,2018,155.0
Burundi,2018,156.0
Finland,2019,1.0
Denmark,2019,2.0
Norway,2019,3.0
Iceland,2019,4.0
Netherlands,2019,5.0
Switzerland,2019,6.0
Sweden,2019,7.0
New Zealand,2019,8.0
Canada,2019,9.0
Austria,2019,10.0
Australia,2019,11.0
Costa Rica,2019,12.0
Israel,2019,13.0
Luxembourg,2019,14.0
United Kingdom,2019,15.0
Ireland,2019,16.0
Germany,2019,17.0
Belgium,2019,18.0
United States,2019,19.0
Czech Republic,2019,20.0
United Arab Emirates,2019,21.0
Malta,2019,22.0
Mexico,2019,23.0
France,2019,24.0
Taiwan,2019,25.0
Chile,2019,26.0
Guatemala,2019,27.0
Saudi Arabia,2019,28.0
Qatar,2019,29.0
Spain,2019,30.0
Panama,2019,31.0
Brazil,2019,32.0
Uruguay,2019,33.0
Singapore,2019,34.0
El Salvador,2019,35.0
Italy,2019,36.0
Bahrain,2019,37.0
Slovakia,2019,38.0
Trinidad & Tobago,2019,39.0
Poland,2019,40.0
Uzbekistan,2019,41.0
Lithuania,2019,42.0
Colombia,2019,43.0
Slovenia,2019,44.0
Nicaragua,2019,45.0
Kosovo,2019,46.0
Argentina,2019,47.0
Romania,2019,48.0
Cyprus,2019,49.0
Ecuador,2019,50.0
Kuwait,2019,51.0
Thailand,2019,52.0
Latvia,2019,53.0
South Korea,2019,54.0
Estonia,2019,55.0
Jamaica,2019,56.0
Mauritius,2019,57.0
Japan,2019,58.0
Honduras,2019,59.0
Kazakhstan,2019,60.0
Bolivia,2019,61.0
Hungary,2019,62.0
Paraguay,2019,63.0
Northern Cyprus,2019,64.0
Peru,2019,65.0
Portugal,2019,66.0
Pakistan,2019,67.0
Russia,2019,68.0
Philippines,2019,69.0
Serbia,2019,70.0
Moldova,2019,71.0
Libya,2019,72.0
Montenegro,2019,73.0
Tajikistan,2019,74.0
Croatia,2019,75.0
Hong Kong,2019,76.0
Dominican Republic,2019,77.0
Bosnia and Herzegovina,2019,78.0
Turkey,2019,79.0
Malaysia,2019,80.0
Belarus,2019,81.0
Greece,2019,82.0
Mongolia,2019,83.0
North Macedonia,2019,84.0
Nigeria,2019,85.0
Kyrgyzstan,2019,86.0
Turkmenistan,2019,87.0
Algeria,2019,88.0
Morocco,2019,89.0
Azerbaijan,2019,90.0
Lebanon,2019,91.0
Indonesia,2019,92.0
China,2019,93.0
Vietnam,2019,94.0
Bhutan,2019,95.0
Cameroon,2019,96.0
Bulgaria,2019,97.0
Ghana,2019,98.0
Ivory Coast,2019,99.0
Nepal,2019,100.0
Jordan,2019,101.0
Benin,2019,102.0
Congo (Brazzaville),2019,103.0
Gabon,2019,104.0
Laos,2019,105.0
South Africa,2019,106.0
Albania,2019,107.0
Venezuela,2019,108.0
Cambodia,2019,109.0
Palestinian Territories,2019,110.0
Senegal,2019,111.0
Somalia,2019,112.0
Namibia,2019,113.0
Niger,2019,114.0
Burkina Faso,2019,115.0
Armenia,2019,116.0
Iran,2019,117.0
Guinea,2019,118.0
Georgia,2019,119.0
Gambia,2019,120.0
Kenya,2019,121.0
Mauritania,2019,122.0
Mozambique,2019,123.0
Tunisia,2019,124.0
Bangladesh,2019,125.0
Iraq,2019,126.0
Congo (Kinshasa),2019,127.0
Mali,2019,128.0
Sierra Leone,2019,129.0
Sri Lanka,2019,130.0
Myanmar,2019,131.0
Chad,2019,132.0
Ukraine,2019,133.0
Ethiopia,2019,134.0
Swaziland,2019,135.0
Uganda,2019,136.0
Egypt,2019,137.0
Zambia,2019,138.0
Togo,2019,139.0
India,2019,140.0
Liberia,2019,141.0
Comoros,2019,142.0
Madagascar,2019,143.0
Lesotho,2019,144.0
Burundi,2019,145.0
Zimbabwe,2019,146.0
Haiti,2019,147.0
Botswana,2019,148.0
Syria,2019,149.0
Malawi,2019,150.0
Yemen,2019,151.0
Rwanda,2019,152.0
Tanzania,2019,153.0
Afghanistan,2019,154.0
Central African Republic,2019,155.0
South Sudan,2019,156.0
